Soma de client_id,Soma de current_age,Soma de retirement_age,Soma de birth_year,Soma de birth_month,gender,address,Soma de latitude,Soma de longitude,Soma de per_capita_income,yearly_income,Soma de total_debt,Soma de credit_score,Soma de num_credit_cards
180,33,67,1986,7,Female,0 Elm Street,3353,-11218,13024,26556,43042,840,2
67,23,65,1996,4,Female,1 Sixth Boulevard,4722,-12254,23366,47639,0,732,2
544,34,65,1985,5,Female,100 Rose Lane,4086,-7363,29426,59999,128311,676,1
1570,21,67,1998,4,Female,100 Seventh Drive,4593,-8825,18016,36733,0,761,3
1090,59,66,1960,10,Female,102 Burns Boulevard,4068,-7522,21005,42825,105122,850,5
350,62,70,1957,8,Female,102 Seventh Avenue,3914,-7677,28673,58463,141151,737,4
562,37,61,1982,8,Female,1059 Elm Avenue,3995,-1049,32793,66863,89031,673,1
1622,41,61,1979,1,Female,1063 Federal Boulevard,4215,-7113,38878,79271,211919,759,1
894,41,68,1978,5,Female,1071 Lafayette Street,433,-7133,19781,40334,65793,597,3
140,37,72,1983,2,Female,108 Washington Street,3628,-8683,20657,42120,72801,739,4
289,22,64,1997,12,Female,109 El Camino Avenue,2976,-9538,11219,22876,36157,685,2
1116,81,66,1938,7,Female,11 Spruce Avenue,4032,-7532,26273,42509,2895,755,5
1615,66,59,1954,1,Female,1105 Second Drive,4231,-8321,24561,48690,36262,701,6
114,47,65,1972,12,Female,112 Elm Avenue,3418,-11839,16892,34441,907,725,4
1,43,74,1976,4,Female,113 Burns Lane,3044,-8718,22247,45360,14587,704,3
769,53,66,1966,10,Female,1132 Hill Street,362,-8166,19604,39974,77967,644,2
1943,19,65,2000,9,Female,1134 Valley Drive,4171,-7283,46762,95348,71972,706,3
1309,87,64,1932,4,Female,115 Bayview Lane,4761,-1223,37485,55902,3385,531,1
181,26,65,1994,1,Female,118 12th Avenue,3386,-8468,25025,51024,181184,602,1
1610,42,66,1978,1,Female,12150 Mill Boulevard,3232,-902,13717,27967,50159,690,2
521,21,70,1998,9,Female,1241 11th Boulevard,3406,-11808,16101,32829,44141,652,1
535,51,63,1968,12,Female,1248 Second Drive,4153,-7279,24393,49737,136056,643,1
632,20,67,1999,12,Female,12694 Fourth Boulevard,4012,-10272,14242,29040,36331,703,1
1358,69,70,1950,4,Female,128 Main Street,431,-895,33808,68930,72619,768,4
614,84,66,1935,9,Female,129 Sussex Street,354,-8059,20570,16430,2873,779,7
438,32,66,1987,10,Female,12960 El Camino Lane,4072,-7417,16691,34034,55846,633,2
1051,32,71,1987,11,Female,13 Norfolk Avenue,417,-7142,24424,49800,137460,694,2
52,56,66,1963,4,Female,13 Rose Boulevard,4156,-7359,31288,63796,82173,730,3
674,63,66,1957,1,Female,13 Sixth Boulevard,3273,-11708,13805,28147,25987,756,7
1074,62,65,1957,6,Female,1305 Spruce Boulevard,4466,-10385,16097,32819,25393,826,5
1430,69,69,1950,4,Female,131 Tenth Avenue,4163,-9374,26764,33642,20874,593,5
636,47,69,1973,2,Female,1342 Hill Lane,4183,-8768,11951,24372,63295,793,4
1057,39,71,1980,7,Female,135 Littlewood Avenue,332,-11729,22050,44958,91549,787,1
1647,18,65,2002,2,Female,1358 Plum Avenue,4131,-7938,17321,35311,44783,684,5
705,84,71,1935,9,Female,136 Hillside Avenue,3791,-12201,42234,79870,4031,609,2
1814,41,68,1979,1,Female,136 South Street,4183,-8768,16114,32856,26535,703,3
1306,46,58,1973,5,Female,136 Tenth Boulevard,3382,-11791,16252,33137,40559,706,2
870,63,64,1956,3,Female,1389 Park Lane,3864,-769,35114,71593,132181,821,3
365,55,70,1964,9,Female,1392 Plum Avenue,4064,-7394,18719,38165,45891,719,1
1288,41,57,1978,7,Female,14 Valley Drive,3847,-8181,18666,38059,68220,634,2
958,18,65,2001,9,Female,141 Sixth Boulevard,3238,-8335,16413,33459,37753,705,3
1808,31,69,1988,8,Female,1415 Sixth Street,3202,-1021,17329,35331,55566,697,4
1101,25,70,1994,12,Female,142 Rose Drive,4211,-7253,14155,28862,20944,751,2
439,33,59,1986,8,Female,142 Valley Drive,4147,-8705,25472,51938,97252,697,2
833,21,65,1998,11,Female,1425 Fifth Street,4085,-741,21827,44501,37251,683,2
1527,66,67,1953,11,Female,1426 Fifth Avenue,4332,-7118,24779,50523,98763,578,1
1509,67,71,1952,8,Female,1429 Summit Drive,3938,-7655,23096,47087,92489,820,5
1371,86,65,1933,6,Female,143 Catherine Boulevard,2141,-15779,24516,49529,1385,689,6
1712,82,65,1938,1,Female,1437 Madison Lane,3279,-9676,27814,66999,3140,730,5
231,55,67,1964,3,Female,1442 Mill Avenue,3505,-7887,17789,36270,73779,769,5
74,54,74,1965,5,Female,1444 Plum Boulevard,3886,-10476,20579,41957,151027,783,3
898,90,66,1929,6,Female,145 River Drive,4059,-7547,12427,19893,1712,566,3
1490,30,69,1989,4,Female,145 Spruce Street,3986,-10486,20522,41839,46226,761,4
1192,44,68,1976,2,Female,1450 Rose Drive,4422,-9344,19630,40026,70877,768,1
1197,28,64,1992,1,Female,146 Lafayette Drive,4579,-12269,27308,55684,114269,722,3
1608,19,68,2000,9,Female,1464 Bayview Street,3185,-10236,19399,39556,132573,572,1
1807,47,65,1972,12,Female,14780 Plum Lane,4084,-7387,25537,52065,98613,828,5
690,71,64,1948,3,Female,149 Burns Boulevard,3959,-10501,31024,67186,29682,692,1
1275,35,65,1984,3,Female,1496 Rose Street,3404,-11829,11395,23238,31661,611,2
754,76,69,1943,3,Female,15 Elm Lane,3369,-7889,19025,32817,27209,705,6
